material_id,elasticity.G_VRH,composition
mp-10,43.0,As1
mp-1000,16.0,Ba1 Te1
mp-10010,96.0,Al1 Co2 Si2
mp-1001602,115.0,B12 W1
mp-1001784,39.0,Li1 Ti1 S2
mp-10074,12.0,Ge1 Se2
mp-1007823,176.0,Ga1 B1 N2
mp-1007923,105.0,Cr1 Ni3
mp-1008680,50.0,Ti1 Ge1 Pt1
mp-1008925,70.0,Li1 Fe1 P1
mp-1009079,24.0,Cr1 Te1
mp-1009087,56.0,Be1 Si1 As2
mp-1009458,79.0,Nb1 C1
mp-1009548,46.0,Pd1 N1
mp-1009894,38.0,Zr1 C1
mp-1013529,28.0,Sr3 N2
mp-1013564,17.0,Sr3 Bi1 As1
mp-1013587,43.0,Sr3 Bi2
mp-1013702,12.0,Ca3 Bi1 P1
mp-1013703,12.0,Ca3 Bi1 As1
mp-1016108,55.0,Ti1 Zn1 N2
mp-1016833,51.0,Ca1 Rh1 O3
mp-1016837,52.0,Sn1 Hg1 O3
mp-1016845,43.0,Zr1 Cd1 O3
mp-1016881,68.0,Cd1 Sn1 O3
mp-1016904,68.0,V1 Cd1 O3
mp-1017533,85.0,Y1 N1
mp-1017540,37.0,Zr1 Cd1
mp-1017985,35.0,Ti1 Ag1
mp-1018050,244.0,Cr1 C1
mp-1018059,33.0,Ga1 Sb1
mp-1018067,88.0,Cr1 Fe3
mp-1018639,87.0,Ti1 Sn1 O3
mp-1018949,10.0,Rb1 Mn1 Bi1
mp-1019,47.0,Y1 Ni2
mp-1019086,93.0,C1 N2
mp-1019277,23.0,Sr1 Hg1 Pb1
mp-1019740,229.0,Ga1 B3 N4
mp-1020622,84.0,Sr1 Zr1 O3
mp-1024039,73.0,Mg3 Al1 O4
mp-1025205,71.0,Y2 Re2 Si2 C1
mp-1025296,42.0,Sn1 P1 Pd5
mp-1025348,44.0,Tl1 P1 Pd5
mp-1025356,69.0,Zn1 As1 Pt5
mp-1025370,61.0,In1 Si1 Pt5
mp-1025375,50.0,Y1 Ga5 Co1
mp-10266,105.0,Zn1 Fe3 C1
mp-1029262,61.0,V1 Zn2 N3
mp-1029330,82.0,Hf2 Se1 N2
mp-1029334,64.0,Zn2 Sb1 N3
mp-1029520,48.0,Mg2 Cr1 N3
mp-1029531,28.0,Sr3 Re1 N3
mp-1029532,48.0,Ca2 Co1 N2
mp-1029750,35.0,Sr3 Ru1 N3
mp-1039119,16.0,Mg1 Al3
mp-10435,40.0,Y1 Al2 Si2
mp-10437,21.0,Ba1 Cu2 Se2
mp-10474,10.0,Na1 P1 F6
mp-1055,26.0,Cd1 Se1
mp-10601,64.0,Y3 Ga1 C1
mp-10694,41.0,Sc1 F3
mp-10886,45.0,Al3 Cu2
mp-10887,52.0,Hf1 Al1 Cu2
mp-109,58.0,Si1
mp-11025,42.0,Zn1 P2
mp-11073,56.0,Ti3 In3 Rh2
mp-11273,126.0,Be3 Nb1
mp-11278,117.0,Ta2 Be1
mp-11304,43.0,Li2 Cd1 Pb1
mp-11441,64.0,Hf2 Ga3
mp-11445,59.0,Y1 Ti2 Ga4
mp-1145,253.0,Ti1 B2
mp-11499,23.0,Y1 Mg2
mp-11512,55.0,Li1 Al2 Ir1
mp-11547,29.0,Y1 Tl1 Pd1
mp-11690,129.0,Tc2 P3
mp-11695,7.0,Rb2 Pd3 S4
mp-11798,38.0,Fe3 Pt1
mp-11816,24.0,Ba1 Cd1 Ge1
mp-11820,5.0,Ba1 Na2
mp-11882,14.0,Ti1 Cu1 Hg2
mp-12015,18.0,K1 Ag2 As1 O4
mp-12137,36.0,Ca1 Zn2 Si2
mp-1224,10.0,Hg1 O1
mp-12283,10.0,Li5 Tl2
mp-1249,52.0,Mg1 F2
mp-12520,32.0,Sr1 Ni2 Ge1
mp-1281,123.0,V1 Ir1
mp-12990,112.0,Ti2 Al1 C1
mp-13109,93.0,Sr1 Hf1 O3
mp-1315,52.0,Mg1 S1
mp-13203,55.0,Sc1 Cu1 Sn1
mp-13272,34.0,Ba1 Al1 Ge1
mp-1334,32.0,Y2 C1
mp-13512,36.0,Ca1 Ni1 Ge2
mp-13548,5.0,Cs2 Pt1
mp-1407,47.0,Rh3 Se8
mp-14091,18.0,Al1 Ag1 Se2
mp-14168,11.0,K2 Ge1 F6
mp-1444,16.0,Ca1 Cd2
mp-1451,77.0,Nb1 Ni3
mp-14600,43.0,Ca1 Al2 O4
mp-1500,25.0,Ba1 S1
mp-1543,52.0,Ge2 Pt1
mp-15637,24.0,Zn1 Rh1 F6
mp-15686,37.0,Li2 Cu1 As1
mp-1585,110.0,V3 Co1
mp-1590,144.0,Be12 Cr1
mp-15965,88.0,Hf5 Si3
mp-1620,189.0,Si2 W1
mp-16266,42.0,Ca1 Zn1 Si1
mp-16523,50.0,Al3 Pd5
mp-16565,21.0,Cd1 Cu2 Sn1 Se4
mp-16733,51.0,Sc2 Ga1 C1
mp-16740,59.0,Ti1 Ge1 Pd1
mp-16764,16.0,Rb1 Y1 Te2
mp-1722,42.0,Zn13 Fe1
mp-17413,71.0,Ti3 Rh5
mp-17701,38.0,Sr2 Nb1 N3
mp-18093,82.0,Al2 Mo3 C1
