material_id,composition
mp-10,As1
mp-1000,Ba1 Te1
mp-10010,Al1 Co2 Si2
mp-1001602,B12 W1
mp-1001784,Li1 Ti1 S2
mp-10074,Ge1 Se2
mp-1007823,Ga1 B1 N2
mp-1007923,Cr1 Ni3
mp-1008680,Ti1 Ge1 Pt1
mp-1008925,Li1 Fe1 P1
mp-1009079,Cr1 Te1
mp-1009087,Be1 Si1 As2
mp-1009458,Nb1 C1
mp-1009548,Pd1 N1
mp-1009894,Zr1 C1
mp-1013529,Sr3 N2
mp-1013564,Sr3 Bi1 As1
mp-1013587,Sr3 Bi2
mp-1013702,Ca3 Bi1 P1
mp-1013703,Ca3 Bi1 As1
mp-1016108,Ti1 Zn1 N2
mp-1016833,Ca1 Rh1 O3
mp-1016837,Sn1 Hg1 O3
mp-1016845,Zr1 Cd1 O3
mp-1016881,Cd1 Sn1 O3
mp-1016904,V1 Cd1 O3
mp-1017533,Y1 N1
mp-1017540,Zr1 Cd1
mp-1017985,Ti1 Ag1
mp-1018050,Cr1 C1
mp-1018059,Ga1 Sb1
mp-1018067,Cr1 Fe3
mp-1018639,Ti1 Sn1 O3
mp-1018949,Rb1 Mn1 Bi1
mp-1019,Y1 Ni2
mp-1019086,C1 N2
mp-1019277,Sr1 Hg1 Pb1
mp-1019740,Ga1 B3 N4
mp-1020622,Sr1 Zr1 O3
mp-1024039,Mg3 Al1 O4
mp-1025205,Y2 Re2 Si2 C1
mp-1025296,Sn1 P1 Pd5
mp-1025348,Tl1 P1 Pd5
mp-1025356,Zn1 As1 Pt5
mp-1025370,In1 Si1 Pt5
mp-1025375,Y1 Ga5 Co1
mp-10266,Zn1 Fe3 C1
mp-1029262,V1 Zn2 N3
mp-1029330,Hf2 Se1 N2
mp-1029334,Zn2 Sb1 N3
mp-1029520,Mg2 Cr1 N3
mp-1029531,Sr3 Re1 N3
mp-1029532,Ca2 Co1 N2
mp-1029750,Sr3 Ru1 N3
mp-1039119,Mg1 Al3
mp-10435,Y1 Al2 Si2
mp-10437,Ba1 Cu2 Se2
mp-10474,Na1 P1 F6
mp-1055,Cd1 Se1
mp-10601,Y3 Ga1 C1
mp-10694,Sc1 F3
mp-10886,Al3 Cu2
mp-10887,Hf1 Al1 Cu2
mp-109,Si1
mp-11025,Zn1 P2
mp-11073,Ti3 In3 Rh2
mp-11273,Be3 Nb1
mp-11278,Ta2 Be1
mp-11304,Li2 Cd1 Pb1
mp-11441,Hf2 Ga3
mp-11445,Y1 Ti2 Ga4
mp-1145,Ti1 B2
mp-11499,Y1 Mg2
mp-11512,Li1 Al2 Ir1
mp-11547,Y1 Tl1 Pd1
mp-11690,Tc2 P3
mp-11695,Rb2 Pd3 S4
mp-11798,Fe3 Pt1
mp-11816,Ba1 Cd1 Ge1
mp-11820,Ba1 Na2
mp-11882,Ti1 Cu1 Hg2
mp-12015,K1 Ag2 As1 O4
mp-12137,Ca1 Zn2 Si2
mp-1224,Hg1 O1
mp-12283,Li5 Tl2
mp-1249,Mg1 F2
mp-12520,Sr1 Ni2 Ge1
mp-1281,V1 Ir1
mp-12990,Ti2 Al1 C1
mp-13109,Sr1 Hf1 O3
mp-1315,Mg1 S1
mp-13203,Sc1 Cu1 Sn1
mp-13272,Ba1 Al1 Ge1
mp-1334,Y2 C1
mp-13512,Ca1 Ni1 Ge2
